========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-06
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0025 | TRAIN: 0.0143 0.9928 | 4.1744 0.0194 | 4.1744 0.0183 | 4.1744 0.0164 | Time: 121.8356 | VAL: 2.5228 0.5032 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.7532 | TEST: 2.6369 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.9602
Epoch: 0026 | TRAIN: 0.0148 0.9920 | 4.1744 0.0168 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 122.9736 | VAL: 2.5291 0.4968 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.1523 | TEST: 2.6620 0.4953 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.6418
Epoch: 0027 | TRAIN: 0.0086 0.9958 | 4.1744 0.0171 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 121.8310 | VAL: 2.5031 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.9168 | TEST: 2.6393 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.1030
Epoch: 0028 | TRAIN: 0.0118 0.9924 | 4.1744 0.0152 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 124.0866 | VAL: 2.4875 0.4989 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.7800 | TEST: 2.6140 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.6856
Epoch: 0029 | TRAIN: 0.0119 0.9935 | 4.1744 0.0191 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 121.8644 | VAL: 2.5000 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.6672 | TEST: 2.6508 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.7035
Epoch: 0030 | TRAIN: 0.0123 0.9935 | 4.1744 0.0191 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 121.2307 | VAL: 2.5738 0.4968 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.4386 | TEST: 2.7228 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.0569
Epoch: 0031 | TRAIN: 0.0102 0.9966 | 4.1744 0.0171 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 123.1025 | VAL: 2.5189 0.5075 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.9286 | TEST: 2.6820 0.4801 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 54.4913
Epoch: 0032 | TRAIN: 0.0131 0.9935 | 4.1744 0.0160 | 4.1744 0.0183 | 4.1744 0.0179 | Time: 125.6507 | VAL: 2.5249 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.9629 | TEST: 2.6823 0.4972 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.3020
Epoch: 0033 | TRAIN: 0.0129 0.9939 | 4.1744 0.0191 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 122.6737 | VAL: 2.4994 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.0400 | TEST: 2.6400 0.5066 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5788
Epoch: 0034 | TRAIN: 0.0145 0.9931 | 4.1744 0.0175 | 4.1744 0.0179 | 4.1744 0.0160 | Time: 123.1734 | VAL: 2.5446 0.5011 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.0159 | TEST: 2.6787 0.5009 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.8783
